scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
q108_10_ripper,main_quests/part1/q108,2,13,15,49,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_10_ripper.scnlocjson
q108_11_thompson,main_quests/part1/q108,12,33,45,73,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_11_thompson.scnlocjson
q108_13_atlantis_memory,main_quests/part1/q108,10,38,48,109,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_13_atlantis_memory.scnlocjson
q108_14a_escape,main_quests/part1/q108,0,14,14,15,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_14a_escape.scnlocjson
q108_14b_lift,main_quests/part1/q108,0,12,12,8,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_14b_lift.scnlocjson
q108_14_rogue,main_quests/part1/q108,9,32,41,84,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_14_rogue.scnlocjson
q108_15a_lift_parking,main_quests/part1/q108,0,2,2,5,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_15a_lift_parking.scnlocjson
q108_15b_parking,main_quests/part1/q108,0,10,10,10,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_15b_parking.scnlocjson
q108_15c_car_chase,main_quests/part1/q108,0,12,12,15,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_15c_car_chase.scnlocjson
q108_15d_alley,main_quests/part1/q108,1,5,6,11,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_15d_alley.scnlocjson
q108_17_riots,main_quests/part1/q108,1,9,10,5,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_17_riots.scnlocjson
q108_18a_lift,main_quests/part1/q108,2,12,14,22,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_18a_lift.scnlocjson
q108_18b_combat,main_quests/part1/q108,1,11,12,22,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_18b_combat.scnlocjson
q108_18c_mainframe_access,main_quests/part1/q108,2,10,12,16,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_18c_mainframe_access.scnlocjson
q108_19_soulkiller,main_quests/part1/q108,4,19,23,33,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\part1\q108\scenes\q108_19_soulkiller.scnlocjson
